Undergraduate Major,Early Career Pay,Mid-Career Pay
Petroleum Engineering,93200,187300
Operations Research & Industrial Engineering,84800,170400
Electrical Engineering & Computer Science (EECS),108500,159300
Interaction Design,68300,155800
Public Accounting,59800,147700
Operations Research,83500,147400
Applied Economics and Management,66100,146400
Business Computing (BC),73000,143600
Actuarial Mathematics,64300,143400
Electrical Power Engineering,76100,142600
Information & Computer Science,58600,140900
Aeronautics & Astronautics,77600,139600
Systems Engineering,77700,139200
Econometrics,64200,139000
Pharmacy,68600,138700
Aerospace Studies,55800,136600
Building Science,53800,135900
Chemical Engineering,76900,135900
Cognitive Science,68700,135200
Actuarial Science,67700,134400
Political Economy,65100,133500
Computer Systems Engineering,79000,133200
Electrical & Computer Engineering (ECE),78100,131600
Computer Science (CS) & Engineering,79400,131300
Marine Engineering,79900,131300
Aeronautical Engineering,74700,131100
Computer Engineering (CE),79000,131000
Naval Architecture & Marine Engineering,74400,130700
Entrepreneurship & Marketing,51400,129800
Corporate Accounting & Finance,65200,129700
Mechatronics,72800,129600
Nuclear Engineering,76400,129400
Electrical Engineering (EE),75600,127700
Foreign Affairs,54800,127700
Marine Transportation Management,71100,127500
Mechanical & Aeronautical Engineering,70900,126900
Welding Engineering,81000,126600
Instrumentation & Control Engineering,73100,126400
Computational & Applied Mathematics,75500,126000
Electrical & Electronics Engineering (EEE),74700,125800
Aerospace Engineering,74300,125700
Astronomy,66600,125400
Optical Science & Engineering,71000,125400
Quantitative Business Analysis,74000,125400
Computer Science (CS) & Mathematics,70500,125100
Industrial & Systems Engineering,73100,124800
Economics and Mathematics,68200,124100
Biomedical Engineering (BME),71300,123600
Managerial Economics,65200,123600
Computer Science (CS),75100,123400
Physics & Astronomy,56500,123400
Petroleum Land Management,59300,123100
Bioscience,49200,123100
Electronics & Communications Engineering,67400,122900
Control Engineering,69700,122800
Pharmacology,57700,122700
Business Analysis,63200,122300
Aeronautical Science & Engineering,56000,122200
Metallurgical Engineering,81800,122200
Engineering Science,67900,122100
Applied Mathematics,68300,122000
Chemical & Biomolecular Engineering,76800,121900
Materials Science,67100,121800
Engineering,69900,121700
Ocean Engineering (OE),69400,121400
Bioengineering (BioE),70900,121300
Aeronautical/Aerospace Engineering Technology,76900,121200
Integrated Science & Technology,65200,121100
Operations Management & Information Systems,66100,120900
Software Engineering,75000,120000
Physics,65900,119700
Quantitative Economics,65000,119600
Computer & Information Science,63600,119500
Geophysics,58000,119000
Accounting & Economics,65900,118900
Physician Assistant Studies,95900,118500
Mining Engineering,78800,118300
Construction Engineering Management,68800,118200
Mechanical Engineering (ME),71000,117600
Materials Science & Engineering,72700,117500
Engineering Mechanics,75500,117400
Industrial Engineering (IE),71900,117400
International Business & Finance,61400,117400
Accounting & Computer Systems,63000,117300
Business & Information Technology (IT),60100,116900
Applied Physics,67300,116500
International Economics,58700,116300
Business & Economics,59600,116200
Ceramic Engineering,69200,115700
Economics,62000,115700
Pharmaceutical Sciences (PS),52800,115700
Telecommunications Engineering,66400,115400
Information & Decision Sciences,65200,115200
Materials Engineering,72300,115200
Paper Science,77000,115200
